timestamp,consegue_dobrar_lingua,resposta_mora_em_piracicaba_original,mora_em_piracicaba_normalizado
11/08/2026 23:50:29,Sim,santa rita,Sim
12/08/2026 07:15:45,Não,Sim,Sim
12/08/2026 07:33:54,Sim,Sim,Sim
12/08/2026 07:41:59,Não,Sim,Sim
12/08/2026 07:46:14,Não,Sim,Sim
12/08/2026 07:46:17,Sim,Sim,Sim
12/08/2026 07:46:24,Sim,Sim,Sim
12/08/2026 07:47:36,Não,Sim,Sim
12/08/2026 07:48:55,Sim,Sim,Sim
12/08/2026 07:49:10,Sim,Sim,Sim
12/08/2026 07:50:13,Não,Sim,Sim
12/08/2026 07:51:28,Sim,Sim,Sim
12/08/2026 07:53:34,Sim,Sim,Sim
12/08/2026 07:57:02,Sim,Sim,Sim
12/08/2026 07:57:15,Sim,Sim,Sim
12/08/2026 07:57:53,Sim,Sim,Sim
12/08/2026 07:59:22,Não,Sim,Sim
12/08/2026 08:03:55,Sim,Não,Não
12/08/2026 08:10:02,Sim,Sim,Sim
12/08/2026 08:12:43,Sim,Sim,Sim
12/08/2026 08:31:46,Sim,Sim,Sim
12/08/2026 08:35:07,Não,Sim,Sim
12/08/2026 08:35:12,Sim,Sim,Sim
12/08/2026 08:35:32,Sim,Sim,Sim
12/08/2026 08:40:25,Não,Sim,Sim
12/08/2026 08:40:53,Sim,Sim,Sim
12/08/2026 08:42:17,Sim,Sim,Sim
12/08/2026 08:42:19,Não,Não,Não
12/08/2026 08:48:00,Sim,Sim,Sim
12/08/2026 08:58:31,Sim,Sim,Sim
12/08/2026 09:05:03,Sim,Não,Não
12/08/2026 09:06:35,Sim,Sim,Sim
12/08/2026 09:07:57,Não,Sim,Sim
12/08/2026 09:09:22,Sim,Sim,Sim
12/08/2026 09:14:39,Não,Sim,Sim
12/08/2026 09:15:05,Sim,Sim,Sim
12/08/2026 09:21:06,Sim,Sim,Sim
12/08/2026 09:32:22,Sim,Sim,Sim
12/08/2026 09:47:17,Sim,Sim,Sim
12/08/2026 10:13:13,Sim,Sim,Sim
12/08/2026 10:27:01,Sim,Sim,Sim
12/08/2026 10:36:33,Sim,Sim,Sim
12/08/2026 10:36:57,Não,Sim,Sim
12/08/2026 10:37:46,Não,Sim,Sim
12/08/2026 10:38:47,Sim,Sim,Sim
12/08/2026 10:39:27,Sim,Sim,Sim
12/08/2026 10:42:57,Sim,Sim,Sim
12/08/2026 10:43:57,Sim,Sim,Sim
12/08/2026 10:54:40,Não,Sim,Sim
12/08/2026 10:54:50,Não,Sim,Sim
12/08/2026 11:03:30,Sim,Sim,Sim
12/08/2026 11:17:32,Sim,Sim,Sim
12/08/2026 11:44:30,Sim,Sim,Sim
12/08/2026 11:49:55,Sim,Sim,Sim
12/08/2026 11:49:59,Sim,Sim,Sim
12/08/2026 11:50:27,Sim,Sim,Sim
12/08/2026 12:03:15,Sim,Sim,Sim
12/08/2026 12:03:59,Sim,Sim,Sim
12/08/2026 12:16:35,Sim,Não,Não
12/08/2026 12:26:02,Sim,Não,Não
12/08/2026 12:31:51,Sim,Sim,Sim
12/08/2026 12:44:42,Sim,Sim,Sim
12/08/2026 12:47:32,Sim,Sim,Sim
12/08/2026 12:47:48,Sim,Sim,Sim
12/08/2026 12:48:45,Não,Sim,Sim
12/08/2026 13:01:48,Não,Sim,Sim
12/08/2026 13:06:41,Sim,Sim,Sim
12/08/2026 13:13:51,Sim,Sim,Sim
12/08/2026 13:28:39,Não,Não,Não
12/08/2026 13:31:39,Sim,Sim,Sim
12/08/2026 13:47:33,Sim,Sim,Sim
12/08/2026 14:49:09,Sim,Sim,Sim
12/08/2026 16:19:39,Sim,Sim,Sim
12/08/2026 18:00:19,Sim,Sim,Sim
13/08/2026 03:37:04,Sim,Sim,Sim
13/08/2026 17:46:20,Sim,Sim,Sim
14/08/2026 10:40:10,Sim,Sim,Sim
14/08/2026 12:52:11,Não,Sim,Sim
25/08/2026 12:58:17,Não,Sim,Sim
